trips_year,trips_month,DayOfWeekStartTimeNumber,DayOfWeekStartTimeAt,WeekNumber,usertype,trips_average
2013,9,2,Tuesday,38,Customer,1552
2013,9,2,Tuesday,38,Subscriber,700
2013,9,2,Tuesday,39,Customer,1464
2013,9,2,Tuesday,39,Subscriber,747
2013,9,3,Wednesday,36,Customer,1690
2013,9,3,Wednesday,36,Subscriber,742
2013,9,3,Wednesday,37,Customer,1727
2013,9,3,Wednesday,37,Subscriber,722
2013,9,3,Wednesday,38,Customer,1374
2013,9,3,Wednesday,38,Subscriber,703
2013,9,3,Wednesday,39,Customer,1533
2013,9,3,Wednesday,39,Subscriber,773
2013,9,4,Thursday,36,Customer,1755
2013,9,4,Thursday,36,Subscriber,761
2013,9,4,Thursday,37,Customer,1511
2013,9,4,Thursday,37,Subscriber,700
2013,9,4,Thursday,38,Customer,1716
2013,9,4,Thursday,38,Subscriber,723
2013,9,4,Thursday,39,Customer,1509
2013,9,4,Thursday,39,Subscriber,709
2013,9,5,Friday,36,Customer,1601
2013,9,5,Friday,36,Subscriber,740
2013,9,5,Friday,37,Customer,1683
2013,9,5,Friday,37,Subscriber,768
2013,9,5,Friday,38,Customer,1516
2013,9,5,Friday,38,Subscriber,742
2013,9,5,Friday,39,Customer,1766
2013,9,5,Friday,39,Subscriber,729
2013,9,6,Saturday,36,Customer,1844
2013,9,6,Saturday,36,Subscriber,876
2013,9,6,Saturday,37,Customer,1754
2013,9,6,Saturday,37,Subscriber,848
2013,9,6,Saturday,38,Customer,1852
2013,9,6,Saturday,38,Subscriber,841
2013,9,6,Saturday,39,Customer,1911
2013,9,6,Saturday,39,Subscriber,811
2013,9,7,Sunday,36,Customer,1901
2013,9,7,Sunday,36,Subscriber,915
2013,9,7,Sunday,37,Customer,1891
2013,9,7,Sunday,37,Subscriber,808
2013,9,7,Sunday,38,Customer,1821
2013,9,7,Sunday,38,Subscriber,784
2013,9,7,Sunday,39,Customer,1655
2013,9,7,Sunday,39,Subscriber,800
2013,9,7,Sunday,40,Customer,1664
2013,9,7,Sunday,40,Subscriber,807
2013,10,1,Monday,41,Customer,1567
2013,10,1,Monday,41,Subscriber,703
2013,10,1,Monday,42,Customer,1679
2013,10,1,Monday,42,Subscriber,682
2013,10,1,Monday,43,Customer,1350
2013,10,1,Monday,43,Subscriber,662
2013,10,1,Monday,44,Customer,1448
2013,10,1,Monday,44,Subscriber,692
2013,10,2,Tuesday,40,Customer,1577
2013,10,2,Tuesday,40,Subscriber,755
2013,10,2,Tuesday,41,Customer,1511
2013,10,2,Tuesday,41,Subscriber,717
2013,10,2,Tuesday,42,Customer,1431
2013,10,2,Tuesday,42,Subscriber,658
2013,10,2,Tuesday,43,Customer,1180
2013,10,2,Tuesday,43,Subscriber,612
2013,10,2,Tuesday,44,Customer,1482
2013,10,2,Tuesday,44,Subscriber,655
2013,10,3,Wednesday,40,Customer,1584
2013,10,3,Wednesday,40,Subscriber,758
2013,10,3,Wednesday,41,Customer,1555
2013,10,3,Wednesday,41,Subscriber,701
2013,10,3,Wednesday,42,Customer,1389
2013,10,3,Wednesday,42,Subscriber,641
2013,10,3,Wednesday,43,Customer,1230
2013,10,3,Wednesday,43,Subscriber,627
2013,10,3,Wednesday,44,Customer,1393
2013,10,3,Wednesday,44,Subscriber,652
2013,10,4,Thursday,40,Customer,1680
2013,10,4,Thursday,40,Subscriber,691
2013,10,4,Thursday,41,Customer,1643
2013,10,4,Thursday,41,Subscriber,730
2013,10,4,Thursday,42,Customer,1537
2013,10,4,Thursday,42,Subscriber,712
2013,10,4,Thursday,43,Customer,1240
2013,10,4,Thursday,43,Subscriber,613
2013,10,4,Thursday,44,Customer,1761
2013,10,4,Thursday,44,Subscriber,675
2013,10,5,Friday,40,Customer,1616
2013,10,5,Friday,40,Subscriber,725
2013,10,5,Friday,41,Customer,1546
2013,10,5,Friday,41,Subscriber,739
2013,10,5,Friday,42,Customer,1617
2013,10,5,Friday,42,Subscriber,652
2013,10,5,Friday,43,Customer,1729
2013,10,5,Friday,43,Subscriber,676
2013,10,6,Saturday,40,Customer,1732
2013,10,6,Saturday,40,Subscriber,764
2013,10,6,Saturday,41,Customer,1793
2013,10,6,Saturday,41,Subscriber,774
2013,10,6,Saturday,42,Customer,1696
2013,10,6,Saturday,42,Subscriber,723
2013,10,6,Saturday,43,Customer,1442
2013,10,6,Saturday,43,Subscriber,681
2013,10,7,Sunday,41,Customer,1765
2013,10,7,Sunday,41,Subscriber,760
2013,10,7,Sunday,42,Customer,1862
2013,10,7,Sunday,42,Subscriber,806
2013,10,7,Sunday,43,Customer,1482
2013,10,7,Sunday,43,Subscriber,761
2013,10,7,Sunday,44,Customer,1493
2013,10,7,Sunday,44,Subscriber,709
2013,11,1,Monday,45,Customer,1523
2013,11,1,Monday,45,Subscriber,676
2013,11,1,Monday,46,Customer,1332
2013,11,1,Monday,46,Subscriber,630
2013,11,1,Monday,47,Customer,1058
2013,11,1,Monday,47,Subscriber,590
2013,11,1,Monday,48,Customer,2340
2013,11,1,Monday,48,Subscriber,650
2013,11,2,Tuesday,45,Customer,1070
2013,11,2,Tuesday,45,Subscriber,675
2013,11,2,Tuesday,46,Customer,1060
2013,11,2,Tuesday,46,Subscriber,578
2013,11,2,Tuesday,47,Customer,1692
2013,11,2,Tuesday,47,Subscriber,629
2013,11,2,Tuesday,48,Customer,1599
2013,11,2,Tuesday,48,Subscriber,632
2013,11,3,Wednesday,45,Customer,1476
2013,11,3,Wednesday,45,Subscriber,665
2013,11,3,Wednesday,46,Customer,1456
2013,11,3,Wednesday,46,Subscriber,596
2013,11,3,Wednesday,47,Customer,1168
2013,11,3,Wednesday,47,Subscriber,655
2013,11,3,Wednesday,48,Customer,1575
2013,11,3,Wednesday,48,Subscriber,566
2013,11,4,Thursday,45,Customer,1576
2013,11,4,Thursday,45,Subscriber,650
2013,11,4,Thursday,46,Customer,1513
2013,11,4,Thursday,46,Subscriber,626
2013,11,4,Thursday,47,Customer,1345
2013,11,4,Thursday,47,Subscriber,619
2013,11,4,Thursday,48,Customer,1676
2013,11,4,Thursday,48,Subscriber,645
2013,11,5,Friday,44,Customer,1505
2013,11,5,Friday,44,Subscriber,638
2013,11,5,Friday,45,Customer,1662
2013,11,5,Friday,45,Subscriber,695
2013,11,5,Friday,46,Customer,1460
2013,11,5,Friday,46,Subscriber,622
2013,11,5,Friday,47,Customer,1338
2013,11,5,Friday,47,Subscriber,581
2013,11,5,Friday,48,Customer,1395
2013,11,5,Friday,48,Subscriber,639
2013,11,6,Saturday,44,Customer,1550
2013,11,6,Saturday,44,Subscriber,768
2013,11,6,Saturday,45,Customer,1657
2013,11,6,Saturday,45,Subscriber,767
2013,11,6,Saturday,46,Customer,1552
2013,11,6,Saturday,46,Subscriber,683
2013,11,6,Saturday,47,Customer,1633
2013,11,6,Saturday,47,Subscriber,596
2013,11,6,Saturday,48,Customer,1486
2013,11,6,Saturday,48,Subscriber,619
2013,11,7,Sunday,45,Customer,1585
2013,11,7,Sunday,45,Subscriber,703
2013,11,7,Sunday,46,Customer,1578
2013,11,7,Sunday,46,Subscriber,696
2013,11,7,Sunday,47,Customer,1562
2013,11,7,Sunday,47,Subscriber,633
2013,11,7,Sunday,48,Customer,1828
2013,11,7,Sunday,48,Subscriber,572
2013,12,1,Monday,49,Customer,1247
2013,12,1,Monday,49,Subscriber,592
2013,12,1,Monday,50,Customer,1812
2013,12,1,Monday,50,Subscriber,610
2013,12,1,Monday,51,Customer,1303
2013,12,1,Monday,51,Subscriber,754
2013,12,1,Monday,52,Customer,2183
2013,12,1,Monday,52,Subscriber,607
2013,12,1,Monday,53,Customer,1261
2013,12,1,Monday,53,Subscriber,648
2013,12,2,Tuesday,49,Customer,1219
2013,12,2,Tuesday,49,Subscriber,613
2013,12,2,Tuesday,50,Customer,890
2013,12,2,Tuesday,50,Subscriber,656
2013,12,2,Tuesday,51,Customer,1356
2013,12,2,Tuesday,51,Subscriber,696
2013,12,2,Tuesday,52,Customer,3733
2013,12,2,Tuesday,52,Subscriber,774
2013,12,2,Tuesday,53,Customer,977
2013,12,2,Tuesday,53,Subscriber,768
2013,12,3,Wednesday,49,Customer,1085
2013,12,3,Wednesday,49,Subscriber,659
2013,12,3,Wednesday,50,Customer,2848
2013,12,3,Wednesday,50,Subscriber,681
2013,12,3,Wednesday,51,Customer,1402
2013,12,3,Wednesday,51,Subscriber,665
2013,12,3,Wednesday,52,Customer,1343
2013,12,3,Wednesday,52,Subscriber,695
2013,12,4,Thursday,49,Customer,1547
2013,12,4,Thursday,49,Subscriber,662
2013,12,4,Thursday,50,Customer,855
2013,12,4,Thursday,50,Subscriber,693
2013,12,4,Thursday,51,Customer,1878
2013,12,4,Thursday,51,Subscriber,653
2013,12,4,Thursday,52,Customer,1369
2013,12,4,Thursday,52,Subscriber,580
2013,12,5,Friday,49,Customer,1039
2013,12,5,Friday,49,Subscriber,677
2013,12,5,Friday,50,Customer,1720
2013,12,5,Friday,50,Subscriber,679
2013,12,5,Friday,51,Customer,2049
2013,12,5,Friday,51,Subscriber,643
2013,12,5,Friday,52,Customer,1219
2013,12,5,Friday,52,Subscriber,700
2013,12,6,Saturday,49,Customer,1280
2013,12,6,Saturday,49,Subscriber,535
2013,12,6,Saturday,50,Customer,2210
2013,12,6,Saturday,50,Subscriber,689
2013,12,6,Saturday,51,Customer,1815
2013,12,6,Saturday,51,Subscriber,658
2013,12,6,Saturday,52,Customer,1725
2013,12,6,Saturday,52,Subscriber,766
2013,12,7,Sunday,49,Customer,1775
2013,12,7,Sunday,49,Subscriber,608
2013,12,7,Sunday,50,Customer,864
2013,12,7,Sunday,50,Subscriber,587
2013,12,7,Sunday,51,Customer,2958
2013,12,7,Sunday,51,Subscriber,607
2013,12,7,Sunday,52,Customer,1242
2013,12,7,Sunday,52,Subscriber,575
2013,12,7,Sunday,53,Customer,1633
2013,12,7,Sunday,53,Subscriber,706
2014,1,1,Monday,2,Subscriber,393
2014,1,1,Monday,3,Customer,1297
2014,1,1,Monday,3,Subscriber,607
2014,1,1,Monday,4,Customer,1072
2014,1,1,Monday,4,Subscriber,592
2014,1,1,Monday,5,Customer,1182
2014,1,1,Monday,5,Subscriber,528
2014,1,2,Tuesday,3,Customer,1102
2014,1,2,Tuesday,3,Subscriber,640
2014,1,2,Tuesday,4,Customer,799
2014,1,2,Tuesday,4,Subscriber,657
2014,1,2,Tuesday,5,Customer,670
2014,1,2,Tuesday,5,Subscriber,664
2014,1,3,Wednesday,1,Customer,1276
